"Colony","TDR_ID","Date","Behaviour","Hours","Expenditure"
"Whinnyfold","A16669",2020-01-27,"Active",14.0333333333333,1265.91725543478
"Whinnyfold","A16669",2020-02-01,"Active",13.99,1263.471875
"Whinnyfold","A16669",2020-02-06,"Active",11.27,1027.65603365385
"Whinnyfold","A16669",2020-02-11,"Active",11.5233333333333,1048.90627232143
"Whinnyfold","A16669",2020-02-16,"Active",18.95,1754.47133152174
"Whinnyfold","A16669",2020-02-21,"Active",9.97333333333333,930.102380952381
"Whinnyfold","A16669",2020-02-26,"Active",4.13333333333333,346.769444444444
"Whinnyfold","A16669",2020-03-02,"Active",11.6866666666667,1107.40800114829
"Whinnyfold","A16669",2020-03-07,"Active",13.0066666666667,1183.1595625
"Whinnyfold","A16671",2019-07-31,"Active",8.27666666666667,595.167499662891
"Whinnyfold","A16671",2019-08-05,"Active",10.82,726.954495151771
"Whinnyfold","A16671",2019-08-10,"Active",9.79333333333333,713.54072337963
"Whinnyfold","A16671",2019-08-15,"Active",11.9466666666667,881.402666666667
"Whinnyfold","A16671",2019-08-20,"Active",7.98666666666667,604.254385964912
"Whinnyfold","A16671",2019-08-25,"Active",7.86666666666667,578.134444444445
"Whinnyfold","A16671",2019-08-30,"Active",15.45,1155.28939917127
"Whinnyfold","A16671",2019-09-04,"Active",13.2266666666667,1010.29449275362
"Whinnyfold","A16671",2019-09-09,"Active",9.21,712.573695652174
"Whinnyfold","A16671",2019-09-14,"Active",14.0633333333333,1090.11116987179
"Whinnyfold","A16671",2019-09-19,"Active",7.50666666666667,588.122757936508
"Whinnyfold","A16671",2019-09-24,"Active",9.77333333333333,767.930862948338
"Whinnyfold","A16671",2019-09-29,"Active",7.63333333333333,595.199122807018
"Whinnyfold","A16671",2019-10-04,"Active",4.14666666666667,314.102349323493
"Whinnyfold","A16671",2019-10-09,"Active",7.11666666666667,551.121585648148
"Whinnyfold","A16671",2019-10-14,"Active",14.1133333333333,1096.37205615942
"Whinnyfold","A16671",2019-10-19,"Active",5.30666666666667,415.944268142681
"Whinnyfold","A16671",2019-10-24,"Active",5.94,470.824553571429
"Whinnyfold","A16671",2019-10-29,"Active",6.66666666666667,507.934027777778
"Whinnyfold","A16671",2019-11-03,"Active",9.80666666666667,780.740911458333
"Whinnyfold","A16671",2019-11-08,"Active",9.52333333333333,788.30765224359
"Whinnyfold","A16671",2019-11-13,"Active",7.81333333333333,664.621666666667
"Whinnyfold","A16671",2019-11-18,"Active",7.99333333333333,642.557838541667
"Whinnyfold","A16671",2019-11-23,"Active",12.3166666666667,1030.86121900502
"Whinnyfold","A16671",2019-11-28,"Active",12.08,1027.42369565217
"Whinnyfold","A16671",2019-12-03,"Active",8.10333333333333,683.388451086956
"Whinnyfold","A16671",2019-12-08,"Active",12.53,1069.67416666667
"Whinnyfold","A16671",2019-12-13,"Active",11.5566666666667,1021.10461775044
"Whinnyfold","A16671",2019-12-18,"Active",7.1,638.778125
"Whinnyfold","A16671",2019-12-23,"Active",7.36666666666667,662.629108796296
"Whinnyfold","A16671",2019-12-28,"Active",13.4966666666667,1190.39868559535
"Whinnyfold","A16671",2020-01-02,"Active",7.78333333333333,682.037748015873
"Whinnyfold","A16671",2020-01-07,"Active",11.9,1042.60066765579
"Whinnyfold","A16671",2020-01-12,"Active",11.8533333333333,1074.2244384058
"Whinnyfold","A16671",2020-01-17,"Active",11.3766666666667,1052.16513703429
"Whinnyfold","A16671",2020-01-22,"Active",4.08,379.071666666667
"Whinnyfold","A16671",2020-01-27,"Active",9.28333333333333,855.01881974936
"Whinnyfold","A16671",2020-02-01,"Active",10.4866666666667,972.711157407407
"Whinnyfold","A16671",2020-02-06,"Active",5.01,469.256953125
"Whinnyfold","A16671",2020-02-11,"Active",17.5333333333333,1622.22470238095
"Whinnyfold","A16671",2020-02-16,"Active",15.3766666666667,1452.13395833333
"Whinnyfold","A16671",2020-02-21,"Active",7.07,670.508489583333
"Whinnyfold","A16671",2020-02-26,"Active",4.03666666666667,388.84453125
"Whinnyfold","A16671",2020-03-02,"Active",17.76,1689.15223684211
"Whinnyfold","A16671",2020-03-07,"Active",13.34,1275.48041666667
"Whinnyfold","A16671",2020-03-12,"Active",5.81,555.855446428571
"Whinnyfold","A16672",2019-07-16,"Active",9.75333333333333,707.212916666667
"Whinnyfold","A16672",2019-07-21,"Active",12.34,845.198184523809
"Whinnyfold","A16672",2019-07-26,"Active",6.32,408.05475
"Whinnyfold","A16672",2019-07-31,"Active",10.2733333333333,674.264732991059
"Whinnyfold","A16672",2019-08-05,"Active",15.54,956.9823375
"Whinnyfold","A16672",2019-08-10,"Active",17.3766666666667,1156.65798460145
"Whinnyfold","A16672",2019-08-15,"Active",14.06,975.295333333333
"Whinnyfold","A16672",2019-08-20,"Active",11.0933333333333,780
"Whinnyfold","A16672",2019-08-25,"Active",12.52,815.859210526316
"Whinnyfold","A16672",2019-08-30,"Active",12.5333333333333,807.535069444445
"Whinnyfold","A16672",2019-09-04,"Active",18.0366666666667,1298.17437952899
"Whinnyfold","A16672",2019-09-09,"Active",11.9333333333333,909.087962962963
"Whinnyfold","A16672",2019-09-14,"Active",14.5333333333333,1107.7125
"Whinnyfold","A16672",2019-09-19,"Active",15.3266666666667,1157.4028125
"Whinnyfold","A16672",2019-09-24,"Active",15.51,1104.43503605769
"Whinnyfold","A16672",2019-09-29,"Active",13.86,1011.17732935855
"Whinnyfold","A16672",2019-10-04,"Active",13.37,1008.75854166667
"Whinnyfold","A16672",2019-10-09,"Active",12.69,975.9403125
"Whinnyfold","A16672",2019-10-14,"Active",12.1266666666667,929.730544871795
"Whinnyfold","A16672",2019-10-19,"Active",11.9133333333333,959.00471875
"Whinnyfold","A16672",2019-10-24,"Active",7.66666666666667,617.349206349206
"Whinnyfold","A16672",2019-10-29,"Active",9.48,773.995446428572
"Whinnyfold","A16672",2019-11-03,"Active",8.74333333333333,725.210022582359
"Whinnyfold","A16672",2019-11-08,"Active",12.45,1027.3273125
"Whinnyfold","A16672",2019-11-13,"Active",10.7166666666667,894.691459508698
"Whinnyfold","A16672",2019-11-18,"Active",7.1,600.774107142857
"Whinnyfold","A16672",2019-11-23,"Active",9.57666666666667,815.983303571428
"Whinnyfold","A16672",2019-11-28,"Active",10.4066666666667,880.707527777778
"Whinnyfold","A16672",2019-12-03,"Active",11.6566666666667,993.706548611111
"Whinnyfold","A16672",2019-12-08,"Active",8.52666666666667,688.190819444445
"Whinnyfold","A16672",2019-12-13,"Active",7.41333333333333,650.913833333333
"Whinnyfold","A16672",2019-12-18,"Active",6.49666666666667,575.038596813726
"Whinnyfold","A16672",2019-12-23,"Active",14.3966666666667,1278.47898726852
"Whinnyfold","A16672",2019-12-28,"Active",14.7433333333333,1310.63076548165
"Whinnyfold","A16672",2020-01-02,"Active",12.7166666666667,1153.09274764151
"Whinnyfold","A16672",2020-01-07,"Active",12.3166666666667,1110.867109375
"Whinnyfold","A16672",2020-01-17,"Active",14.89,1370.58904761905
"Whinnyfold","A16672",2020-01-22,"Active",6.47666666666667,583.254192708333
"Whinnyfold","A16672",2020-01-27,"Active",16.1533333333333,1488.25914626607
"Whinnyfold","A16672",2020-02-01,"Active",16.4866666666667,1519.25977355072
"Whinnyfold","A16672",2020-02-06,"Active",14.51,1330.385625
"Whinnyfold","A16672",2020-02-11,"Active",16.73,1544.33833333333
"Whinnyfold","A16672",2020-02-16,"Active",17.66,1641.88831636005
"Whinnyfold","A16672",2020-02-21,"Active",14.11,1315.93553110329
"Whinnyfold","A16672",2020-02-26,"Active",16.1533333333333,1488.68756601183
"Whinnyfold","A16672",2020-03-02,"Active",14.9333333333333,1355.16888888889
"Whinnyfold","A16673",2019-07-11,"Active",6.69333333333333,490.847818100358
"Whinnyfold","A16673",2019-07-16,"Active",5.72,406.4775
"Whinnyfold","A16673",2019-07-21,"Active",5.96333333333333,453.082885416667
"Whinnyfold","A16673",2019-07-26,"Active",6.11333333333333,382.125787037037
"Whinnyfold","A16673",2019-07-31,"Active",6.04666666666667,383.63514254386
"Whinnyfold","A16673",2019-08-05,"Active",7.11333333333333,457.565166666667
"Whinnyfold","A16673",2019-08-10,"Active",11.1566666666667,719.786902173913
"Whinnyfold","A16673",2019-08-15,"Active",6.8,425.455357142857
"Whinnyfold","A16673",2019-08-20,"Active",7.72,472.8114
"Whinnyfold","A16673",2019-08-25,"Active",8.2,473.251041666667
"Whinnyfold","A16673",2019-08-30,"Active",8.91,519.666259398496
"Whinnyfold","A16673",2019-09-04,"Active",12.7733333333333,800.951180981595
"Whinnyfold","A16673",2019-09-09,"Active",11.9266666666667,728.014054487179
"Whinnyfold","A16673",2019-09-14,"Active",10.5,677.768092105263
"Whinnyfold","A16673",2019-09-19,"Active",13.8733333333333,942.975462041374
"Whinnyfold","A16673",2019-09-24,"Active",7.41,504.285234375
"Whinnyfold","A16673",2019-09-29,"Active",13.4266666666667,910.07625
"Whinnyfold","A16673",2019-10-04,"Active",10.7266666666667,759.553224337748
"Whinnyfold","A16673",2019-10-09,"Active",7.66666666666667,564.285300925926
"Whinnyfold","A16673",2019-10-14,"Active",10.72,788.286904761905
"Whinnyfold","A16673",2019-10-19,"Active",10.6466666666667,791.250460526316
"Whinnyfold","A16673",2019-10-24,"Active",10.6466666666667,773.230802083333
"Whinnyfold","A16673",2019-10-29,"Active",7.77333333333333,575.105208333333
"Whinnyfold","A16673",2019-11-03,"Active",10.3333333333333,789.854166666667
"Whinnyfold","A16673",2019-11-08,"Active",7.64666666666667,593.333541666667
"Whinnyfold","A16673",2019-11-13,"Active",14.61,1171.37568780145
"Whinnyfold","A16673",2019-11-18,"Active",10.21,842.356172772989
"Whinnyfold","A16673",2019-11-23,"Active",8.26333333333333,692.065394021739
"Whinnyfold","A16673",2019-11-28,"Active",8.59666666666667,729.720438368055
"Whinnyfold","A16673",2019-12-03,"Active",10.1033333333333,882.743668981481
"Whinnyfold","A16673",2019-12-08,"Active",14.5733333333333,1231.42686594203
"Whinnyfold","A16673",2019-12-13,"Active",14.7433333333333,1264.52127717391
"Whinnyfold","A16673",2019-12-18,"Active",6.37333333333333,559.942857142857
"Whinnyfold","A16673",2019-12-23,"Active",11.96,1054.6463298791
"Whinnyfold","A16673",2019-12-28,"Active",4.99666666666667,430.650208333333
"Whinnyfold","A16673",2020-01-02,"Active",12.38,1084.91967105263
"Whinnyfold","A16673",2020-01-07,"Active",10.7433333333333,952.928501602564
"Whinnyfold","A16673",2020-01-12,"Active",10.4866666666667,944.502232142857
"Whinnyfold","A16673",2020-01-17,"Active",8.21666666666667,743.256962719298
"Whinnyfold","A16673",2020-01-22,"Active",6.27,573.44375
"Whinnyfold","A16673",2020-01-27,"Active",14.86,1345.44916666667
"Whinnyfold","A16673",2020-02-01,"Active",10.7133333333333,998.03255787037
"Whinnyfold","A16673",2020-02-06,"Active",4.97,467.6459375
"Whinnyfold","A16673",2020-02-11,"Active",17.12,1573.05383585565
"Whinnyfold","A16673",2020-02-16,"Active",11.46,1068.98427631579
"Whinnyfold","A16673",2020-02-21,"Active",12.3866666666667,1155.85663888889
