Country,Name,Status,Year,Owner,Turbine_type,Number_turbines,Turbine_model,Proxy_turbine,Turbine_MW,Rotor_radius,Airgap,Data_source
Norway,Utsira Nord 2,Planned,2030,NVE,Floating,50,,IEA-15MW-240-RWT,15,120,30,https://veiledere.nve.no/havvind/identifisering-av-utredningsomrader-for-havvind/nye-omrader-for-havvind/vestavind-f-inkl-utsira-nord/
Norway,Utsira Nord 3,Planned,2030,NVE,Floating,50,,IEA-15MW-240-RWT,15,120,30,https://veiledere.nve.no/havvind/identifisering-av-utredningsomrader-for-havvind/nye-omrader-for-havvind/vestavind-f-inkl-utsira-nord/
Norway,Vestavind F1,Planned,2030,NVE,Floating,67,,IEA-15MW-240-RWT,15,120,30,https://veiledere.nve.no/havvind/identifisering-av-utredningsomrader-for-havvind/nye-omrader-for-havvind/vestavind-f-inkl-utsira-nord/
Sweden,Mareld,Planned,2030,Freja offshore,Floating,167,,,15,130,20,https://mareld.gatsby.qte.nu/wp-content/uploads/2023/03/SamradsunderlagMareldmedbilaga.pdf 
Sweden,Vastvind,Planned,2029,Eolus,Fixed,50,,,20,135,24,https://www.eolusvind.com/projekt/havsbaserad-vind/vastvind-vindkraftpark/
United Kingdom,Aberdeen Offshore W/F,Production,2018,Vattenfall,Fixed,11,nine Vestas V164-8.4MW and two V164-8.8MW,,8.8,82,,https://group.vattenfall.com/uk/what-we-do/our-projects/european-offshore-wind-deployment-centre
United Kingdom,Arven Offshore Wind Farm,Planned,2027,"Mainstream Renewable Power, EDP Renovaveis, Engie",Floating,120,,IEA-15MW-240-RWT,15,120,30,https://www.mainstreamrp.com/markets-projects/europe/united-kingdom/arven-scotwind-wind-farm/
United Kingdom,Beatrice Offshore Wind Farm,Production,2019,"SSE, Red Rock Power, TRIG, Equitix",Fixed,84,SWT-7.0-154,,7,77,,https://www.beatricewind.com/
United Kingdom,Bellrock,Planned,2028,"BlueFloat Energy, Renantis",Floating,80,,IEA-15MW-240-RWT,15,120,30,https://www.bellrockwind.co.uk/
United Kingdom,Berwick Bank Wind Farm,Approved,2028,SSE Renwables,Fixed,154,,IEA-15MW-240-RWT,15,120,30,https://www.berwickbank.com/project
United Kingdom,Blyth Demo Phase 1,Production,2017,EDF Renewables,Fixed,5,V164-8.0,,8,82,,https://www.power-technology.com/marketdata/power-plant-profile-blyth-offshore-wind-demonstration-site-uk/
United Kingdom,Blyth Demonstration Phases 2&3,Approved,2025,EDF Renewables,Floating,Four turbines of up to 258 m to tip or five turbines of up to 222 m to tip,,,up to 14,110,,https://www.edfenergy.com/media-centre/news-releases/blyth-offshore-wind-farm-phase-two-expansion-underway-using-floating
United Kingdom,Broadshore,Planned,2030,BlueFloat Energy & Renantis,Floating,60,,IEA-15MW-240-RWT,15,120,30,
